819283761,15,100.0,30,A
834987341,9,60.0,18,D
899991828,13,86.7,26,B
881231818,9,60.0,18,D
892823736,6,40.0,12,F
834987341,9,60.0,18,D
899991828,13,86.7,26,B
888181818,9,60.0,18,D
892823736,6,40.0,12,F
834987341,9,60.0,18,D
899991828,13,86.7,26,B
888181818,9,60.0,18,D
892823736,4,26.7,8,F
834987341,9,60.0,18,D
899991828,13,86.7,26,B
889875818,9,60.0,18,D
892823736,4,26.7,8,F
834987341,9,60.0,18,D
899991828,13,86.7,26,B
888181818,9,60.0,18,D
892823736,5,33.3,10,F
834987341,9,60.0,18,D
895678928,13,86.7,26,B
888456718,6,40.0,12,F
892823736,5,33.3,10,F
834987341,9,60.0,18,D
899991828,9,60.0,18,D
888181818,6,40.0,12,F
892823736,6,40.0,12,F
